               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099139,            0.031122,                   0,                   0,                   0,                   0,                   0,             0.12403,            0.030155,                   0,              0.0973,              0.0003,              0.0003
                   1,              0.1272,             0.03326,                   0,                   0,                   0,                   0,                   0,             0.12063,            0.029633,                   0,            0.093693,          0.00069307,          0.00069307
                   2,               0.129,            0.032732,                   0,                   0,                   0,                   0,                   0,             0.11704,            0.029446,                   0,            0.090078,           0.0010782,           0.0010782
                   3,             0.11791,            0.034058,                   0,                   0,                   0,                   0,                   0,             0.11539,            0.028324,                   0,            0.086455,           0.0014555,           0.0014555
                   4,             0.12218,             0.03028,                   0,          0.00066667,                 0.1,           0.0011367,          0.00011367,             0.11433,            0.026875,                   0,            0.082825,           0.0018248,           0.0018248
                   5,             0.11676,            0.033586,                   0,                   0,                   0,                   0,                   0,             0.11307,             0.02636,                   0,            0.079186,           0.0021861,           0.0021861
                   6,            0.087454,            0.028135,                   0,          0.00066667,                 0.1,           0.0011592,          0.00011592,             0.11113,            0.025162,                   0,             0.07554,           0.0025396,           0.0025396
                   7,              0.1145,            0.033249,                   0,               0.002,                 0.3,           0.0033294,          0.00041928,             0.10815,            0.024841,                   0,            0.071885,           0.0028852,           0.0028852
                   8,             0.10994,            0.038605,                   0,           0.0013333,                 0.2,           0.0050289,          0.00064496,             0.10676,            0.024269,                   0,            0.068223,           0.0032228,           0.0032228
                   9,             0.10272,            0.032027,                   0,           0.0026667,                 0.4,            0.011166,            0.002545,             0.10518,            0.023724,                   0,            0.064553,           0.0035525,           0.0035525
                  10,             0.10132,            0.034557,                   0,           0.0026667,                 0.4,              0.0227,           0.0031902,             0.10189,            0.023785,                   0,            0.060874,           0.0038743,           0.0038743
                  11,             0.10531,            0.036418,                   0,               0.004,                 0.6,            0.034887,           0.0087687,            0.095376,            0.024578,                   0,            0.057188,           0.0041882,           0.0041882
                  12,             0.09566,            0.027485,                   0,           0.0043419,                 0.6,            0.067917,            0.021385,            0.091957,            0.024559,                   0,            0.053494,           0.0044941,           0.0044941
                  13,            0.096546,             0.02968,                   0,               0.006,                 0.9,            0.023733,           0.0071862,             0.10343,             0.02142,                   0,            0.049792,           0.0047922,           0.0047922
                  14,             0.10564,            0.025311,                   0,            0.067996,                 0.6,              0.1512,            0.029208,            0.087624,            0.024162,                   0,            0.046082,           0.0050823,           0.0050823
                  15,            0.092179,             0.03824,                   0,            0.067996,                 0.6,              0.1512,            0.029208,            0.087624,            0.024162,                   0,            0.042364,           0.0053644,           0.0053644
                  16,            0.093968,            0.025153,                   0,             0.18696,                 0.5,             0.16203,            0.036397,            0.082144,            0.024502,                   0,            0.038639,           0.0056387,           0.0056387
                  17,            0.082097,            0.034051,                   0,             0.37266,                 0.4,             0.44034,             0.14181,            0.087853,            0.021305,                   0,            0.034905,           0.0059051,           0.0059051
                  18,             0.09331,            0.024806,                   0,             0.37266,                 0.4,             0.44034,             0.14181,            0.087853,            0.021305,                   0,            0.031163,           0.0061635,           0.0061635
                  19,            0.088863,            0.038531,                   0,             0.62438,                 0.4,             0.43678,             0.13365,            0.081293,            0.021645,                   0,            0.027414,            0.006414,            0.006414
                  20,            0.083044,            0.030487,                   0,             0.15094,                 0.6,             0.13585,            0.040209,            0.094857,            0.018005,                   0,            0.023657,           0.0066566,           0.0066566
                  21,            0.092221,            0.031204,                   0,             0.15094,                 0.6,             0.13585,            0.040209,            0.094857,            0.018005,                   0,            0.019891,           0.0068913,           0.0068913
                  22,            0.096809,            0.028516,                   0,             0.16162,                 0.1,            0.086602,            0.025534,            0.092462,            0.018255,                   0,            0.016118,            0.007118,            0.007118
                  23,            0.067739,            0.018922,                   0,             0.16162,                 0.1,            0.086602,            0.025534,            0.092462,            0.018255,                   0,            0.012337,           0.0073369,           0.0073369
                  24,            0.088724,            0.024908,                   0,             0.49195,             0.29195,             0.23774,            0.077941,            0.079035,            0.020931,                   0,           0.0085478,           0.0075478,           0.0075478
                  25,            0.060898,            0.027528,                   0,             0.49195,             0.29195,             0.23774,            0.077941,            0.079035,            0.020931,                   0,            0.007525,            0.007525,            0.007525
                  26,            0.081483,            0.025969,                   0,              0.6522,              0.3783,             0.47118,             0.17405,            0.080675,            0.019447,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.081518,            0.035713,                   0,              0.6522,              0.3783,             0.47118,             0.17405,            0.080675,            0.019447,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.076975,            0.026866,                   0,             0.62194,                 0.2,             0.26376,            0.082517,            0.080238,            0.019287,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.086658,            0.027654,                   0,             0.62194,                 0.2,             0.26376,            0.082517,            0.080238,            0.019287,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.08381,             0.03101,                   0,             0.50675,             0.30944,             0.33454,             0.11906,            0.067453,             0.02145,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.076109,            0.037251,                   0,             0.50675,             0.30944,             0.33454,             0.11906,            0.067453,             0.02145,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.052563,            0.029902,                   0,             0.27917,                 0.4,             0.37825,             0.10961,             0.06897,            0.019268,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.070707,            0.029369,                   0,             0.27917,                 0.4,             0.37825,             0.10961,             0.06897,            0.019268,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.071896,            0.028407,                   0,             0.32837,                 0.5,             0.41402,              0.1436,            0.084627,            0.016449,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.081061,            0.026782,                   0,             0.32837,                 0.5,             0.41402,              0.1436,            0.084627,            0.016449,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.072761,            0.031009,                   0,             0.32381,                 0.6,             0.28989,             0.10787,            0.067846,            0.018459,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.063784,            0.025915,                   0,             0.32381,                 0.6,             0.28989,             0.10787,            0.067846,            0.018459,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.066391,            0.027523,                   0,             0.57079,                 0.3,             0.34955,             0.11437,            0.069978,             0.01778,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.068126,             0.02459,                   0,             0.57079,                 0.3,             0.34955,             0.11437,            0.069978,             0.01778,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.070728,            0.025605,                   0,             0.48419,                 0.5,             0.52493,             0.12491,            0.069175,            0.017807,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.068264,            0.026216,                   0,             0.48419,                 0.5,             0.52493,             0.12491,            0.069175,            0.017807,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.069909,             0.02234,                   0,             0.58323,             0.69973,             0.62302,             0.18951,            0.062985,            0.017941,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.063407,            0.032463,                   0,             0.58323,             0.69973,             0.62302,             0.18951,            0.062985,            0.017941,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.059224,            0.026387,                   0,             0.62954,                 0.7,             0.68947,             0.19407,            0.061747,            0.016598,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.065249,            0.021222,                   0,             0.62954,                 0.7,             0.68947,             0.19407,            0.061747,            0.016598,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.066305,            0.033335,                   0,             0.52629,                 0.6,             0.42714,             0.13189,            0.070232,            0.015385,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.064155,            0.032644,                   0,             0.52629,                 0.6,             0.42714,             0.13189,            0.070232,            0.015385,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.062594,             0.02378,                   0,             0.85946,             0.61296,              0.7699,             0.26525,            0.053143,            0.016376,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.060359,            0.029497,                   0,             0.85946,             0.61296,              0.7699,             0.26525,            0.053143,            0.016376,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.064333,            0.020688,                   0,             0.28621,                 0.6,             0.39616,             0.12266,            0.070377,            0.014694,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.06628,            0.020593,                   0,             0.28621,                 0.6,             0.39616,             0.12266,            0.070377,            0.014694,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.061359,            0.024641,                   0,             0.47967,                 0.7,             0.72095,             0.32449,            0.053067,             0.01561,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.054078,            0.022101,                   0,             0.47967,                 0.7,             0.72095,             0.32449,            0.053067,             0.01561,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.057448,            0.023573,                   0,             0.69813,                 0.8,             0.66003,             0.25886,            0.061162,            0.014919,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.057125,            0.022251,                   0,             0.69813,                 0.8,             0.66003,             0.25886,            0.061162,            0.014919,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.062056,            0.021984,                   0,             0.63042,                 0.7,             0.73084,             0.29896,            0.051937,            0.014874,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.053854,            0.026673,                   0,             0.63042,                 0.7,             0.73084,             0.29896,            0.051937,            0.014874,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.057787,            0.030933,                   0,             0.70454,                 0.7,             0.69797,             0.22857,            0.059086,            0.014256,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.056833,            0.020598,                   0,             0.70454,                 0.7,             0.69797,             0.22857,            0.059086,            0.014256,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.053949,            0.022832,                   0,             0.70769,                 0.8,             0.84681,             0.34203,            0.050015,            0.014149,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.052409,            0.028653,                   0,             0.70769,                 0.8,             0.84681,             0.34203,            0.050015,            0.014149,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.055041,             0.02201,                   0,             0.61415,                 0.8,             0.71334,             0.27974,            0.052518,            0.013985,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.054148,            0.018768,                   0,             0.61415,                 0.8,             0.71334,             0.27974,            0.052518,            0.013985,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.049073,              0.0236,                   0,             0.76241,                 0.8,             0.78125,             0.42129,             0.04812,            0.013664,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.046924,            0.020479,                   0,             0.76241,                 0.8,             0.78125,             0.42129,             0.04812,            0.013664,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.046281,            0.019481,                   0,             0.64087,                 0.8,             0.76167,             0.28315,            0.053627,             0.01339,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.05396,            0.018974,                   0,             0.64087,                 0.8,             0.76167,             0.28315,            0.053627,             0.01339,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.052392,            0.024985,                   0,             0.76996,                 0.8,             0.79809,             0.38085,            0.047732,            0.013012,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.043952,            0.018549,                   0,             0.76996,                 0.8,             0.79809,             0.38085,            0.047732,            0.013012,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.053517,            0.020726,                   0,             0.47591,                 0.8,             0.60103,             0.25297,            0.051564,            0.012859,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.050746,            0.022224,                   0,             0.47591,                 0.8,             0.60103,             0.25297,            0.051564,            0.012859,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.046898,            0.020263,                   0,              0.7238,             0.78727,             0.80956,             0.42463,            0.046178,            0.012552,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.048097,            0.021455,                   0,              0.7238,             0.78727,             0.80956,             0.42463,            0.046178,            0.012552,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.041346,            0.020036,                   0,             0.64383,                 0.8,             0.81056,             0.42545,            0.043183,            0.012573,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.045833,            0.021161,                   0,             0.64383,                 0.8,             0.81056,             0.42545,            0.043183,            0.012573,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.046334,            0.021199,                   0,             0.78515,                 0.7,             0.86692,             0.45512,            0.043904,            0.012522,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.044946,            0.025139,                   0,             0.78515,                 0.7,             0.86692,             0.45512,            0.043904,            0.012522,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.044475,            0.017121,                   0,              0.8851,             0.77273,             0.86747,             0.46151,            0.039661,            0.012434,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.04297,            0.020187,                   0,              0.8851,             0.77273,             0.86747,             0.46151,            0.039661,            0.012434,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.045699,            0.027282,                   0,             0.88863,             0.79815,              0.8502,             0.40197,            0.047728,            0.012259,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.044273,            0.019801,                   0,             0.88863,             0.79815,              0.8502,             0.40197,            0.047728,            0.012259,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.046743,            0.020335,                   0,             0.74838,             0.89289,             0.90056,             0.50851,            0.038469,            0.012236,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.038921,            0.016346,                   0,             0.74838,             0.89289,             0.90056,             0.50851,            0.038469,            0.012236,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.044566,            0.018095,                   0,             0.98558,                 0.9,             0.95382,             0.48412,            0.041086,            0.012102,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.043077,            0.019439,                   0,             0.98558,                 0.9,             0.95382,             0.48412,            0.041086,            0.012102,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.048218,            0.019133,                   0,             0.97962,                 0.9,             0.95056,             0.49025,             0.03837,            0.012228,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.041132,            0.018618,                   0,             0.97962,                 0.9,             0.95056,             0.49025,             0.03837,            0.012228,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.04261,            0.021227,                   0,             0.81229,                 0.8,             0.93237,             0.45424,            0.044164,            0.012072,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.044302,            0.022061,                   0,             0.81229,                 0.8,             0.93237,             0.45424,            0.044164,            0.012072,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.039726,             0.01632,                   0,             0.87406,                 0.9,             0.95167,             0.49105,            0.039401,            0.012049,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.044111,            0.018829,                   0,             0.87406,                 0.9,             0.95167,             0.49105,            0.039401,            0.012049,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.042903,            0.016233,                   0,             0.87642,                 0.9,             0.95167,             0.49176,            0.038555,            0.011984,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.038302,            0.018169,                   0,             0.87642,                 0.9,             0.95167,             0.49176,            0.038555,            0.011984,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.037939,            0.020956,                   0,             0.90915,                 0.9,              0.9575,             0.50541,            0.035043,            0.011936,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.038432,            0.020003,                   0,             0.90915,                 0.9,              0.9575,             0.50541,            0.035043,            0.011936,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.028491,            0.014783,                   0,             0.87735,                 0.9,              0.9475,             0.48314,            0.037135,            0.011841,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.037092,            0.015788,                   0,             0.87735,                 0.9,              0.9475,             0.48314,            0.037135,            0.011841,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.038031,            0.020085,                   0,             0.87819,                 0.9,             0.95167,             0.48959,            0.037538,            0.011772,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.039643,            0.025085,                   0,             0.87819,                 0.9,             0.95167,             0.48959,            0.037538,            0.011772,                   0,            0.000298,            0.000298,            0.000298
